# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-03-13 14:18:58 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06711565 SOUTH PLATTE RIVER AT ENGLEWOOD, CO.
# -----------------------------------------------------------------------------------
#
# Data provided for site 06711565
#            TS   parameter     Description
#        210920       00060     Discharge, cubic feet per second
#        210922       00010     Temperature, water, degrees Celsius
#        210924       00300     Dissolved oxygen, water, unfiltered, milligrams per liter
#        210925       00400     pH, water, unfiltered, field, standard units
#
# Data-value qualification codes included in this output:
#        
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	210920_00060	210920_00060_cd	210922_00010	210922_00010_cd	210924_00300	210924_00300_cd	210925_00400	210925_00400_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	06711565	2021-03-12 00:00	MST	44.5	P	8.1	P	8.3	P	8.1	P
USGS	06711565	2021-03-12 00:15	MST	44.5	P	8.1	P	8.2	P	8.1	P
USGS	06711565	2021-03-12 00:30	MST	44.5	P	8.1	P	8.2	P	8.1	P
USGS	06711565	2021-03-12 00:45	MST	44.5	P	8.1	P	8.1	P	8.1	P
USGS	06711565	2021-03-12 01:00	MST	44.5	P	8.1	P	8.1	P	8.1	P
USGS	06711565	2021-03-12 01:15	MST	44.5	P	8.1	P	8.1	P	8.1	P
USGS	06711565	2021-03-12 01:30	MST	44.5	P	8.0	P	8.0	P	8.1	P
USGS	06711565	2021-03-12 01:45	MST	44.5	P	8.0	P	8.0	P	8.1	P
USGS	06711565	2021-03-12 02:00	MST	44.5	P	8.0	P	8.0	P	8.1	P
USGS	06711565	2021-03-12 02:15	MST	44.5	P	8.0	P	8.0	P	8.1	P
USGS	06711565	2021-03-12 02:30	MST	44.5	P	7.9	P	8.0	P	8.1	P
USGS	06711565	2021-03-12 02:45	MST	44.5	P	7.9	P	7.9	P	8.1	P
USGS	06711565	2021-03-12 03:00	MST	44.5	P	7.8	P	8.0	P	8.1	P
USGS	06711565	2021-03-12 03:15	MST	44.5	P	7.8	P	8.0	P	8.1	P
USGS	06711565	2021-03-12 03:30	MST	44.5	P	7.7	P	8.0	P	8.1	P
USGS	06711565	2021-03-12 03:45	MST	44.5	P	7.7	P	8.0	P	8.1	P
USGS	06711565	2021-03-12 04:00	MST	46.5	P	7.6	P	8.0	P	8.1	P
USGS	06711565	2021-03-12 04:15	MST	46.5	P			8.0	P	8.1	P
USGS	06711565	2021-03-12 04:30	MST	46.5	P	7.5	P	8.0	P	8.1	P
USGS	06711565	2021-03-12 04:45	MST	46.5	P	7.5	P	8.0	P	8.1	P
USGS	06711565	2021-03-12 05:00	MST	46.5	P	7.4	P	8.0	P	8.0	P
USGS	06711565	2021-03-12 05:15	MST	46.5	P	7.4	P	8.0	P	8.0	P
USGS	06711565	2021-03-12 05:30	MST	48.5	P	7.3	P	8.1	P	8.0	P
USGS	06711565	2021-03-12 05:45	MST	48.5	P	7.3	P	8.1	P	8.0	P
USGS	06711565	2021-03-12 06:00	MST	48.5	P	7.2	P	8.1	P	8.0	P
USGS	06711565	2021-03-12 06:15	MST	48.5	P	7.1	P	8.1	P	8.0	P
USGS	06711565	2021-03-12 06:30	MST	48.5	P	7.1	P	8.2	P	7.9	P
USGS	06711565	2021-03-12 06:45	MST	48.5	P	7.0	P	8.2	P	7.9	P
USGS	06711565	2021-03-12 07:00	MST	48.5	P	7.0	P	8.2	P	7.9	P
USGS	06711565	2021-03-12 07:15	MST	48.5	P	6.9	P	8.2	P	7.9	P
USGS	06711565	2021-03-12 07:30	MST	48.5	P	6.9	P	8.3	P	7.9	P
USGS	06711565	2021-03-12 07:45	MST	48.5	P	6.8	P	8.3	P	7.9	P
USGS	06711565	2021-03-12 08:00	MST	48.5	P	6.8	P	8.4	P	7.9	P
USGS	06711565	2021-03-12 08:15	MST	48.5	P	6.7	P	8.4	P	7.9	P
USGS	06711565	2021-03-12 08:30	MST	46.5	P	6.7	P	8.5	P	7.9	P
USGS	06711565	2021-03-12 08:45	MST	46.5	P	6.7	P	8.6	P	7.9	P
USGS	06711565	2021-03-12 09:00	MST	46.5	P	6.7	P	8.7	P	7.9	P
USGS	06711565	2021-03-12 09:15	MST	46.5	P	6.7	P	8.8	P	7.9	P
USGS	06711565	2021-03-12 09:30	MST	46.5	P	6.7	P	8.9	P	7.9	P
USGS	06711565	2021-03-12 09:45	MST	46.5	P	6.7	P	9.0	P	7.9	P
